ID,Name,Effect,Generation,Single,Dual,Hidden,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
,Cacophony,Avoids sound-based moves.,3,0,0,0,そうおん,Sō On,Cacophonie,Energieaufladung,Cacofonia,Cacofonía,,,,
1,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",3,0,6,1,あくしゅう,Akushū,Puanteur,Duftnote,Tanfo,Hedor,악취,Akchwi,惡臭 / 恶臭,Èchòu / Okchau
2,Drizzle,The Pokémon makes it rain when it enters a battle.,3,1,1,1,あめふらし,Amefurashi,Crachin,Niesel,Piovischio,Llovizna,잔비,Janbi,降雨,Jiàngyǔ / Gongyúh
3,Speed Boost,Its Speed stat is boosted every turn.,3,2,2,8,かそく,Kasoku,Turbo,Temposchub,Acceleratore,Impulso,가속,Gasok,加速,Jiāsù / Gāchūk
4,Battle Armor,Hard armor protects the Pokémon from critical hits.,3,3,4,2,カブトアーマー,Kabuto Armor,Armurbaston,Kampfpanzer,Lottascudo,Armadura Batalla*,전투 무장,Jeontu Mujang,戰鬥盔甲 / 战斗盔甲,Zhàndòu Kuījiǎ / Jindau Kwāigaap
5,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",3,6,28,7,がんじょう,Ganjō,Fermeté,Robustheit,Vigore,Robustez,옹골참,Onggolcham,結實 / 结实,Jiēshi / Gitsaht
6,Damp,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.,3,0,8,10,しめりけ,Shimerike,Moiteur,Feuchtigkeit,Umidità,Humedad,습기,Seupgi,濕氣 / 湿气,Shīqì / Sāphei
7,Limber,Its limber body protects the Pokémon from paralysis.,3,1,9,2,じゅうなん,Jūnan,Échauffement,Flexibilität,Scioltezza,Flexibilidad,유연,Yuyeon,柔軟 / 柔软,Róuruǎn / Yàuhyúhn
8,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,3,7,8,9,すながくれ,Sunagakure,Voile Sable,Sandschleier,Sabbiavelo,Velo Arena,모래숨기,Morae Sumgi,沙隱 / 沙隐,Shā Yǐn / Sā Yán
9,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",3,9,5,1,せいでんき,Seidenki,Statik,Statik,Statico,Elec. Estática*,정전기,Jeongjeon'gi,靜電 / 静电,Jìngdiàn / Jihngdihn
10,Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage.",3,3,2,2,ちくでん,Chikuden,Absorb Volt,Voltabsorber,Assorbivolt,Absorbe Elec*,축전,Chukjeon,蓄電 / 蓄电,Xùdiàn / Chūkdihn
11,Water Absorb,"Restores HP if hit by a Water-type move, instead of taking damage.",3,2,12,9,ちょすい,Chosui,Absorb Eau,H2O-Absorber,Assorbacqua,Absorbe Agua*,저수,Jeosu,儲水 / 储水,Chúshuǐ / Chyúhséui
12,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",3,0,19,5,どんかん,Donkan,Benêt,Dösigkeit,Indifferenza,Despiste,둔감,Dungam,遲鈍 / 迟钝,Chídùn / Chìhdeuhn
13,Cloud Nine,Eliminates the effects of weather.,3,0,2,5,ノーてんき,Nō Tenki,Ciel Gris,Wolke Sieben,Antimeteo,Aclimatación,날씨 부정,Nalssi Bujeong,無關天氣 / 无关天气,Wúguān Tiānqì / Mòuhgwāan Tīnhei
14,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,3,2,6,1,ふくがん,Fukugan,Œil Composé,Facettenauge,Insettocchi,Ojo Compuesto*,복안,Bok'an,複眼 / 复眼,Fùyǎn / Fūkngáahn
15,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,3,1,10,3,ふみん,Fumin,Insomnia,Insomnia,Insonnia,Insomnio,불면,Bulmyeon,不眠,Bùmián / Bātmìhn
16,Color Change,The Pokémon's type becomes the type of the move used on it.,3,1,0,0,へんしょく,Henshoku,Déguisement,Farbwechsel,Cambiacolore,Cambio Color,변색,Byeonsaek,變色 / 变色,Biànsè / Binsīk
17,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,3,1,1,1,めんえき,Men'eki,Vaccin,Immunität,Immunità,Inmunidad,면역,Myeon'yeok,免疫,Miǎnyì / Míhnyihk
18,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,3,4,10,3,もらいび,Moraibi,Torche,Feuerfänger,Fuocardore,Absorbe Fuego*,타오르는 불꽃,Taoreuneun Bulkkot,引火,Yǐnhuǒ / Yáhnfó
19,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,3,4,5,0,りんぷん,Rinpun,Écran Poudre,Puderabwehr,Polvoscudo,Polvo Escudo,인분,Inbun,鱗粉 / 鳞粉,Línfěn / Lèuhnfán
20,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",3,0,18,5,マイペース,My Pace,Tempo Perso,Tempomacher,Mente Locale,Ritmo Propio,마이페이스,My Pace,我行我素,Wǒxíngwǒsù / Ngóhhàhngngóhsou
21,Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.,3,2,3,0,きゅうばん,Kyūban,Ventouse,Saugnapf,Ventose,Ventosas,흡반,Heupban,吸盤 / 吸盘,Xīpán / Kāppún
22,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",3,7,19,6,いかく,Ikaku,Intimidation,Bedroher,Prepotenza,Intimidación,위협,Wihyeop,威嚇 / 威吓,Wēihè / Wāihaak
23,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.,3,3,0,3,かげふみ,Kage Fumi,Marque Ombre,Wegsperre,Pedinombra,Sombra Trampa*,그림자 밟기,Geurimja Balgi,踩影,Cǎi Yǐng / Cháai Yíng
24,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.,3,2,1,3,さめはだ,Samehada,Peau Dure,Rauhaut,Cartavetro,Piel Tosca,까칠한 피부,Kkachilhan Pibu,粗糙皮膚 / 粗糙皮肤,Cūcào Pífū / Chōuchou Pèihfū
25,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.,3,1,0,0,ふしぎなまもり,Fushigina Mamori,Garde Mystik,Wunderwache,Magidifesa,Superguarda,불가사의 부적,Bulgasayi Bujeok,神奇守護 / 神奇守护,Shénqí Shǒuhù / Sàhnkèih Sáuwuh
26,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",3,31,2,0,ふゆう,Fuyū,Lévitation,Schwebe,Levitazione,Levitación,부유,Buyu,飄浮 / 飘浮,Piāofú / Pīufàuh
27,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",3,2,6,1,ほうし,Hōshi,Pose Spore,Sporenwirt,Spargispora,Efecto Espora*,포자,Poja,孢子,Bāozǐ / Bāaují
28,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",3,3,12,0,シンクロ,Shinkuro,Synchro,Synchro,Sincronismo,Sincronía,싱크로,Synchro,同步,Tóngbù / Tùhngbouh
29,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,3,8,2,3,クリアボディ,Kuria Bodi,Corps Sain,Neutraltorso,Corpochiaro,Cuerpo Puro,클리어 바디,Clear Body,恆淨之軀 / 恒净之躯,Héngjìng-zhī Qū / Hàhngjihng-jī Kēui
30,Natural Cure,All status conditions heal when the Pokémon switches out.,3,4,11,1,しぜんかいふく,Shizen Kaifuku,Médic Nature,Innere Kraft,Alternacura,Cura Natural,자연회복,Jayeon Hoebok,自然回復 / 自然回复,Zìrán Huífù / Jihyìhn Wùihfuhk
31,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",3,1,11,6,ひらいしん,Hiraishin,Paratonnerre,Blitzfänger,Parafulmine,Pararrayos,피뢰침,Piroechim,避雷針 / 避雷针,Bìléizhēn / Beihlèuihjām
32,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,3,3,7,2,てんのめぐみ,Ten no Megumi,Sérénité,Edelmut,Leggiadro,Dicha,하늘의 은총,Haneul-yi Eunchong,天恩,Tiān'ēn / Tīnyān
33,Swift Swim,Boosts the Pokémon's Speed stat in rain.,3,8,21,10,すいすい,Suisui,Glissade,Wassertempo,Nuotovelox,Nado Rápido,쓱쓱,Sseuksseuk,悠游自如,Yōuyóu Zìrú / Yàuhyàuh Jihyùh
34,Chlorophyll,Boosts the Pokémon's Speed stat in sunshine.,3,10,19,6,ようりょくそ,Yōryokuso,Chlorophylle*,Chlorophyll,Clorofilla,Clorofila,엽록소,Yeoprokso,葉綠素 / 叶绿素,Yèlǜsù / Yihpluhksou
35,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,3,0,8,0,はっこう,Hakkō,Lumiattirance,Erleuchtung,Risplendi,Iluminación,발광,Balgwang,發光 / 发光,Fāguāng / Faatgwōng
36,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",3,1,5,0,トレース,Torēsu,Calque,Fährte,Traccia,Rastro,트레이스,Trace,複製 / 复制,Fùzhì / Fūkjai
37,Huge Power,Doubles the Pokémon's Attack stat.,3,1,3,2,ちからもち,Chikara Mochi,Coloforce,Kraftkoloss,Macroforza,Potencia,천하장사,Cheonhajangsa,大力士,Dà Lìshì / Daaih Lihksih
38,Poison Point,Contact with the Pokémon may poison the attacker.,3,0,16,0,どくのトゲ,Doku no Toge,Point Poison,Giftdorn,Velenopunto,Punto Tóxico,독가시,Dokgasi,毒刺,Dúcì / Duhkchi
39,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",3,5,17,11,せいしんりょく,Seishinryoku,Attention,Konzentrator,Forza Interiore*,Foco Interno,정신력,Jeongsinryeok,精神力,Jīngshén Lì / Jīngsàhn Lihk
40,Magma Armor,"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.",3,0,3,0,マグマのよろい,Magma no Yoroi,Armumagma,Magmapanzer,Magmascudo,Escudo Magma,마그마의 무장,Magma-yi Mujang,熔岩鎧甲 / 熔岩铠甲,Róngyán Kǎijiǎ / Yùhngngàahm Hóigaap
41,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",3,0,4,7,みずのベール,Mizu no Bēru,Ignifu-Voile,Aquahülle,Idrovelo,Velo Agua,수의 베일,Su-yi Veil,水幕,Shuǐ Mù / Séui Mohk
42,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,3,0,8,0,じりょく,Jiryoku,Magnépiège,Magnetfalle,Magnetismo,Imán,자력,Jiryeok,磁力,Cílì / Chìhlihk
43,Soundproof,Soundproofing of the Pokémon itself gives full immunity to all sound-based moves.,3,3,7,5,ぼうおん,Bō'on,Anti-Bruit,Lärmschutz,Antisuono,Insonorizar,방음,Bang'eum,隔音,Géyīn / Gaakyām
44,Rain Dish,The Pokémon gradually regains HP in rain.,3,0,3,10,あめうけざら,Ame Ukezara,Cuvette,Regengenuss,Copripioggia,Cura Lluvia,젖은접시,Jeoj'eun Jeopsi,雨盤 / 雨盘,Yǔ Pán / Yúh Pùhn
45,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.,3,4,1,0,すなおこし,Suna Okoshi,Sable Volant,Sandsturm,Sabbiafiume,Chorro Arena,모래날림,Morae Nallim,揚沙 / 扬沙,Yáng Shā / Yèuhng Sā
46,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",3,19,2,4,プレッシャー,Puresshā,Pression,Erzwinger,Pressione,Presión,프레셔,Pressure,壓迫感 / 压迫感,Yāpò Gǎn / Aatbīk Gám
47,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",3,1,16,7,あついしぼう,Atsui Shibō,Isograisse,Speckschicht,Grassospesso,Sebo,두꺼운 지방,Dukkeoun Jibang,厚脂肪,Hòu Zhīfáng / Háuh Jīfōng
48,Early Bird,The Pokémon awakens twice as fast as other Pokémon from sleep.,3,0,13,2,はやおき,Hayaoki,Matinal,Frühwecker,Sveglialampo,Madrugar,일찍 기상,Iljjik Gisang,早起,Zǎoqǐ / Jóuhéi
49,Flame Body,Contact with the Pokémon may burn the attacker.,3,7,5,4,ほのおのからだ,Honō no Karada,Corps Ardent,Flammkörper,Corpodifuoco,Cuerpo Llama,불꽃몸,Bulkkot Mom,火焰之軀 / 火焰之躯,Huǒyàn-zhī Qū / Fóyihm-jī Kēui
50,Run Away,Enables a sure getaway from wild Pokémon.,3,0,16,8,にげあし,Nige Ashi,Fuite,Angsthase,Fugafacile,Fuga,도주,Doju,逃跑,Táopǎo / Tòuhpáau
51,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,3,3,30,5,するどいめ,Surudoi Me,Regard Vif,Adlerauge,Sguardofermo,Vista Lince,날카로운 눈,Nalkaroun Nun,銳利目光 / 锐利目光,Ruìlì Mùguāng / Yeuihleih Muhkgwōng
52,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,3,0,11,0,かいりきバサミ,Kairiki Basami,Hyper Cutter,Scherenmacht,Ipertaglio,Corte Fuerte,괴력집게,Goeryeok Jipge,怪力鉗 / 怪力钳,Guàilì Qián / Gwaailihk Kìhm
53,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",3,1,15,2,ものひろい,Mono Hiroi,Ramassage,Mitnahme,Raccolta,Recogida,픽업,Pick-Up,撿拾 / 捡拾,Jiǎnshí / Gímsahp
54,Truant,The Pokémon can't use a move the following turn if it uses one.,3,2,0,1,なまけ,Namake,Absentéisme,Schnarchnase,Pigrone,Ausente,게으름,Geeureum,懶惰 / 懒惰,Lǎnduò / Láahndoh
55,Hustle,"Boosts the Attack stat, but lowers accuracy.",3,3,9,8,はりきり,Harikiri,Agitation,Übereifer,Tuttafretta,Entusiasmo,의욕,Yiyok,活力,Huólì / Wuhtlihk
56,Cute Charm,Contact with the Pokémon may cause infatuation.,3,1,11,2,メロメロボディ,Meromero Bodi,Joli Sourire,Charmebolzen,Incantevole,Gran Encanto,헤롱헤롱 바디,Herongherong Body,迷人之軀 / 迷人之躯,Mírén-zhī Qū / Màihyàhn-jī Kēui
57,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,3,1,3,4,プラス,Purasu,Plus,Plus,Più,Más,플러스,Plus,正電 / 正电,Zhèngdiàn / Jingdihn
58,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,3,1,3,2,マイナス,Mainasu,Minus,Minus,Meno,Menos,마이너스,Minus,負電 / 负电,Fùdiàn / Fuhdihn
59,Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.",3,1,0,0,てんきや,Tenkiya,Météo,Prognose,Previsioni,Predicción,기분파,Gibunpa,陰晴不定 / 阴晴不定,Yīnqíng Bùdìng / Yāmchìhng Bātdihng
60,Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,3,0,8,0,ねんちゃく,Nenchaku,Glue,Wertehalter,Antifurto,Viscosidad,점착,Jeomchak,黏著 / 黏着,Niánzhuó / Nìhmjeuhk
61,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,3,11,5,0,だっぴ,Dappi,Mue,Expidermis,Muta,Mudar,탈피,Talpi,蛻皮 / 蜕皮,Tuìpí / Teuipèih
62,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,3,3,14,4,こんじょう,Konjō,Cran,Adrenalin,Dentistretti,Agallas,근성,Geunseong,毅力,Yìlì / Ngaihlihk
63,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.,3,0,1,2,ふしぎなうろこ,Fushigi na Uroko,Écaille Spéciale*,Notschutz,Pelledura,Escama Especial*,이상한 비늘,Isanghan Bineul,神奇鱗片 / 神奇鳞片,Shénqí Línpiàn / Sàhnkèih Lèuhnpin
64,Liquid Ooze,"Oozed liquid has strong stench, which damages attackers using any draining move.",3,0,4,0,ヘドロえき,Hedoro Eki,Suintement,Kloakensoße,Melma,Lodo Líquido,해감액,Haegam Aek,污泥漿 / 污泥浆,Wūní Jiāng / Wūnàih Jēung
65,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,3,21,0,2,しんりょく,Shinryoku,Engrais,Notdünger,Erbaiuto,Espesura,심록,Simrok,茂盛,Màoshèng / Mauhsihng
66,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,3,21,0,2,もうか,Mōka,Brasier,Großbrand,Aiutofuoco,Mar Llamas,맹화,Menghwa,猛火,Měnghuǒ / Máahngfó
67,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,3,21,0,2,げきりゅう,Gekiryū,Torrent,Sturzbach,Acquaiuto,Torrente,급류,Geupryu,激流,Jīliú / Gīklàuh
68,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,3,5,16,4,むしのしらせ,Mushi no Shirase,Essaim,Hexaplaga,Aiutinsetto,Enjambre,벌레의 알림,Beolle-yi Allim,蟲之預感 / 虫之预感,Chóng-zhī Yùgǎn / Chùhng-jī Yuhgám
69,Rock Head,Protects the Pokémon from recoil damage.,3,2,17,2,いしあたま,Ishi Atama,Tête de Roc,Steinhaupt,Testadura,Cabeza Roca,돌머리,Dol Meori,堅硬腦袋 / 坚硬脑袋,Jiānyìng Nǎodai / Gīnngaahng Nóuhdói
70,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,3,2,1,2,ひでり,Hideri,Sécheresse,Dürre,Siccità,Sequía,가뭄,Gamum,日照,Rìzhào / Yahtjiu
71,Arena Trap,Prevents opposing Pokémon from fleeing.,3,0,3,0,ありじごく,Ariji Goku,Piège Sable*,Ausweglos,Trappoarena,Trampa Arena,개미지옥,Gaemi Jiok,沙穴,Shāxué / Sāyuht
72,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",3,1,6,7,やるき,Yaruki,Esprit Vital,Munterkeit,Spiritovivo,Espíritu Vital*,의기양양,Yigiyang'yang,幹勁 / 干劲,Gànjìng / Gongihng
73,White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",3,0,1,1,しろいけむり,Shiroi Kemuri,Écran Fumée,Pulverrauch,Fumochiaro,Humo Blanco,하얀연기,Hayan Yeongi,白色煙霧 / 白色烟雾,Báisè Yānwù / Baahksīk Yīnmouh
74,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.",3,2,0,0,ヨガパワー,Yoga Pawā,Force Pure,Mentalkraft,Forzapura,Energía pura,순수한힘,Sunsuhan Him,瑜伽之力,Yújiā-zhī Lì / Yùhgā-jī Lihk
75,Shell Armor,A hard shell protects the Pokémon from critical hits.,3,3,13,7,シェルアーマー,Sheru Āmā,Coque Armure,Panzerhaut,Guscioscudo,Caparazón,조가비 갑옷,Jogabi Gab'ot,硬殼盔甲 / 硬壳盔甲,Yìngké Kuījiǎ / Ngaahnghok Kwāigaap
76,Air Lock,Eliminates the effects of weather.,3,1,0,0,エアロック,Ea Rokku,Air Lock,Klimaschutz,Riparo,Bucle Aire,에어록,Air-Lock,氣閘 / 气闸,Qì Zhá / Hei Jaahp
77,Tangled Feet,Raises evasion if the Pokémon is confused.,4,0,5,2,ちどりあし,Chidori Ashi,Pieds Confus,Fußangel,Intricopiedi,Tumbos,갈지자걸음,Galjija Geor'eum,蹣跚 / 蹒跚,Pánshān / Pùhnsāan
78,Motor Drive,"Boosts its Speed stat if hit by an Electric-type move, instead of taking damage.",4,1,2,1,でんきエンジン,Denki Engine,Motorisé,Starthilfe,Elettrorapid,Electromotor,전기엔진,Jeongi Engine,電氣引擎 / 电气引擎,Diànqì Yǐnqíng / Dihnhei Yáhnkìhng
79,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",4,0,14,4,とうそうしん,Tōsōshin,Rivalité,Rivalität,Antagonismo,Rivalidad,투쟁심,Tujaengsim,鬥爭心 / 斗争心,Dòuzhēng Xīn / Daujāng Sām
